PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,NN30195A-VB,F,E,ST31S0000120,#N/A,4479,0,WT,10/09/2016,
SG21,MNBEFG9GXWV,F,E,ST31S0000123,#N/A,2000,0,AC,03/04/2017,
SG21,MIP6S10MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/13/2017,
SG21,MN63Y1011-E1,F,E,ST31S0000157,#N/A,0,2000,OW,03/17/2017,
SG21,MN63Y2007-E2,F,E,ST31S0000157,#N/A,0,2000,OW,03/25/2017,
SG21,MIP801000L,F,E,ST31S0000032,#N/A,1874,0,WT,03/12/2017,
SG21,MIP6S1AMTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/13/2017,
SG21,MIP6S1AMTSCF,F,E,ST31S0000037,#N/A,4844,0,HD,02/08/2017,
SG21,MIP6S1AMTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/13/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/16/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/12/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/28/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/25/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/25/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/25/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/24/2017,
SG21,MN864729-EB,T,E,ST31S0000123,#N/A,0,2000,OW,03/24/2017,
SG21,MNBCA6DHF1F,F,E,ST31S0000154,#N/A,1095,0,WT,01/14/2017,
SG21,MIP9L02MLS,F,E,ST31S0000035,#N/A,0,2000,OW,06/07/2016,
SG21,AN44116ABVB,F,E,ST31S0000120,#N/A,14476,0,WT,03/06/2017,
SG21,MNBAFB1AED1F,F,E,ST31S0000154,#N/A,749,0,WT,02/10/2017,
SG21,MIP2N1BUKL,F,E,ST31S0000032,#N/A,417,0,WT,02/01/2017,
SG21,MN864729-EB,T,E,ST31S0000120,#N/A,1879,0,WT,03/25/2017,
SG21,MN864729-EB,T,E,ST31S0000120,#N/A,1835,0,WT,03/16/2017,
SG21,MIP2L50MY0LT,F,E,ST31S0000033,#N/A,1041,0,WT,12/24/2016,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,19376,EW,03/23/2017,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,14388,EW,03/17/2017,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,19202,EW,03/20/2017,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,19378,EW,03/18/2017,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,18972,EW,03/18/2017,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,19241,EW,03/23/2017,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,19108,EW,03/23/2017,
SG21,CLNCT28AE,A,E,ST49S0000014,#N/A,0,17847,EW,03/23/2017,
SG21,MN2PS011,F,E,ST11S0000065,#N/A,130,0,WT,03/09/2017,
SG21,MN89513,F,E,ST11S0000067,#N/A,210,0,WT,03/09/2017,
SG21,MN2WS210A3UB,F,E,ST11S0000067,#N/A,173,0,WT,11/21/2016,
