PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,MN34031AL,T,T,(CCD)0768,UEH3U054.1,81,0,RUN,2017/03/09 22:00:10
,
SG21,MN34031AL,T,T,(CCD)0768,UEH3U053.1,74,0,RUN,2017/01/14 08:30:46
,
SG21,MN34112PA,T,T,(CCD)0768,UEH3U036.1,285,0,RUN,2017/03/01 12:47:02
,
SG21,MN34112PA,T,T,(CCD)0768,UEH3U037.1,112,0,RUN,2016/11/25 01:17:28
,
SG21,MN34112PA,T,T,(CCD)0768,UEH3U038.1,279,0,RUN,2016/11/29 05:27:54
,
SG21,MN34222PLS,T,T,(CCD)0768,UEH3U012.1,77,0,RUN,2016/11/04 19:30:58
,
SG21,MN34222PLS,T,T,(CCD)0768,UEH3U013.1,14,0,RUN,2016/11/28 12:10:16
,
SG21,SNEA110180C0_SBT,A,A,ST11S0000009,UBE6Q010.1,1257,0,HD,2014-06-26 20:21:18,
SG21,SNEA110140C0_SBT,A,A,ST11S0000013,UBEC8028.1,6,0,HD,2014-12-08 17:16:28,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC5031.1,5,0,WT,2015-12-03 19:55:22,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF8J013.1,6,0,WT,2015-08-05 13:48:27,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFCE015.1,2,0,WT,2015-12-06 10:57:00,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC4046.1,15,0,WT,2015-12-03 19:55:05,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF87005.1,4,0,WT,2015-08-05 13:56:05,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7C005.1,2,0,WT,2015-07-10 14:56:36,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF2F037.1,3,0,WT,2015-02-13 20:10:32,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U032.1,1304,0,WT,2017-03-26 16:14:34,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U029.1,1800,0,WT,2017-03-26 16:14:34,
SG21,SNEA110140C0_SBT,A,A,ST11S0000009,UBF3Q003.1,2803,0,HD,2015-03-26 10:55:30,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG2E961.1,15,0,WT,2016-02-05 14:33:28,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG1K507.1,45,0,WT,2016-01-19 10:15:37,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC5027.1,33,0,WT,2015-12-03 19:51:18,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC8010.1,32,0,WT,2015-12-06 10:55:18,
SG21,MN2PS01511A,T,T,ST11S0000064,UBF7B020.1,2,0,WT,2015-07-10 14:57:01,
