PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,QBSG-PA3-WFRS531A,A,A,ST11S0000003,UBH3O364.1,3018,0,WT,03/24/2017,
SG21,QBSG-PA3-WFRS468A,A,A,ST11S0000088,UBH2A158.1,97,0,HD,01/20/2017,
SG21,QBSG-PA3-ASMS544A,A,A,ST11S0000017,UBH3O479.1,1440,0,AC,03/23/2017,
SG21,QBSG-PA3-SBTS412A,A,A,ST11S0000013,UBH4D216.1,1431,0,WT,03/09/2017,
SG21,QBSG-PA3-SBTS560A,A,A,ST11S0000009,UBH3O396.1,199917,0,WT,03/24/2017,
SG21,QBSG-PA3-SBTS560A,A,A,ST11S0000009,UBH42109.1,33061,0,WT,03/02/2017,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH3U028.1,1582,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000033,UBH3T026.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000069,UBH43373.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000037,UBH3T066.1,1777,0,AC,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000033,UBH3T074.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000033,UBH42017.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000033,UBH47014.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000069,UBH44036.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000033,UBH43225.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000029,UBH45172.1,1800,0,WT,03/26/2017,
SG21,MN2WS0275CB,T,T,ST11S0000041,UBH3S324.1,1699,0,WT,03/23/2017,
SG21,QBSG-PA3-SBTS375A,A,A,ST11S0000013,UBH3L260.1,429,0,HD,03/18/2016,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG19003.1,1,0,WT,01/08/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBH1L261.1,61,0,WT,01/20/2017,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG38031.1,6,0,WT,03/05/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG5F338.1,301,0,WT,05/14/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG9E023.1,10,0,WT,09/13/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG8E058.1,8,0,WT,08/12/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBGAH343.1,1,0,WT,10/12/2016,
SG21,MN2PS01511A,T,T,ST11S0000064,UBEC8003.1,8,0,WT,12/04/2014,
SG21,MN2PS01511A,T,T,ST11S0000059,UBH1L331.1,8,0,WT,01/20/2017,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG8H222.1,7,0,WT,08/12/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG49169.1,42,0,WT,04/07/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBG48165.1,425,0,WT,04/07/2016,
SG21,MN2PS01511A,T,T,ST11S0000059,UBH28041.1,11,0,WT,02/06/2017,
SG21,MN2PS01511A,T,T,ST11S0000064,UBG1K001.1,65,0,WT,01/19/2016,
SG21,MN2PS01511A,T,T,ST11S0000064,UBFC5003.1,44,0,WT,12/03/2015,
SG21,MN2PS01511A,T,T,ST11S0000059,UBH27014.1,4,0,WT,02/06/2017,
